Region,Market,Chart,Name,Unit,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
India,Software,Brand Shares (BETA),Adobe,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),AWS,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),Broadcom,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),Cisco,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),Google,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),IBM,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),Microsoft,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),Oracle,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),Other,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),Salesforce,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),ServiceNow,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
India,Software,Revenue by Segment,Total,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,3.89,4.84,5.07,5.53,5.49,6.57,7.29,8.44,9.56,10.75,11.96,13.21,14.42,,,,,,,,,,,,
India,Software,Revenue by Segment,Application Development Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.9,1.14,1.22,1.35,1.32,1.61,1.82,2.14,2.46,2.81,3.18,3.57,3.95,,,,,,,,,,,,
India,Software,Revenue by Segment,Enterprise Software ,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,1.51,1.89,2,2.21,2.19,2.63,2.96,3.49,4,4.55,5.12,5.73,6.32,,,,,,,,,,,,
India,Software,Revenue by Segment,Productivity Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.49,0.61,0.63,0.68,0.68,0.8,0.87,0.99,1.1,1.21,1.32,1.42,1.52,,,,,,,,,,,,
India,Software,Revenue by Segment,System Infrastructure Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.99,1.21,1.23,1.3,1.29,1.52,1.63,1.82,2,2.19,2.35,2.49,2.62,,,,,,,,,,,,
India,Software,Revenue Change by Segment,Total,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.244,0.048,0.091,-0.007,0.197,0.11,0.158,0.133,0.124,0.113,0.105,0.092,,,,,,,,,,,,
India,Software,Revenue Change by Segment,Application Development Software,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.267,0.07,0.107,-0.022,0.22,0.13,0.176,0.15,0.142,0.132,0.123,0.106,,,,,,,,,,,,
India,Software,Revenue Change by Segment,Enterprise Software ,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.252,0.058,0.105,-0.009,0.201,0.125,0.179,0.146,0.137,0.125,0.119,0.103,,,,,,,,,,,,
India,Software,Revenue Change by Segment,Productivity Software,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.245,0.033,0.079,0,0.176,0.087,0.138,0.111,0.1,0.091,0.076,0.07,,,,,,,,,,,,
India,Software,Revenue Change by Segment,System Infrastructure Software,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.222,0.017,0.057,-0.008,0.178,0.072,0.117,0.099,0.095,0.073,0.06,0.052,,,,,,,,,,,,
India,Software,Comparable Estimates - Software (Worldwide),Statista,trillion USD (US$),,,,,,,,,,,,,,,,,,0.42,0.45,0.49,0.52,0.53,0.57,0.61,0.66,0.7,0.74,0.78,0.82,0.86,,,,,,,,,,,,
India,Software,Comparable Estimates - Software (Worldwide),Gartner,trillion USD (US$),,,,,,,,,,,,,,,,,,,,,,,0.73,0.81,0.92,1.04,,,,,,,,,,,,,,,,
India,Software,Comparable Estimates - Software (Worldwide),IDC,trillion USD (US$),,,,,,,,,,,,,,,,,,,0.48,0.55,0.6,0.59,0.65,0.71,0.77,0.84,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Brand Shares (BETA),Adobe,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Brand Shares (BETA),Hubspot,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Brand Shares (BETA),Microsoft,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Brand Shares (BETA),Oracle,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Brand Shares (BETA),Other,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Brand Shares (BETA),Salesforce,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Brand Shares (BETA),Zoho,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Revenue,Total,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.32,0.43,0.5,0.58,0.59,0.73,0.84,1.03,1.22,1.43,1.67,1.95,2.24,,,,,,,,,,,,
India,Customer Relationship Management Software,Revenue Change,Total,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.344,0.163,0.16,0.017,0.237,0.151,0.226,0.184,0.172,0.168,0.168,0.149,,,,,,,,,,,,
India,Customer Relationship Management Software,Average Spend per Employee,Total,USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.66,0.89,1.02,1.17,1.18,1.43,1.65,1.98,2.31,2.7,3.11,3.59,4.1,,,,,,,,,,,,
India,Customer Relationship Management Software,Comparable Estimates - Software (Worldwide),Statista,trillion USD (US$),,,,,,,,,,,,,,,,,,0.42,0.45,0.49,0.52,0.53,0.57,0.61,0.66,0.7,0.74,0.78,0.82,0.86,,,,,,,,,,,,
India,Customer Relationship Management Software,Comparable Estimates - Software (Worldwide),Gartner,trillion USD (US$),,,,,,,,,,,,,,,,,,,,,,,0.73,0.81,0.92,1.04,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Comparable Estimates - Software (Worldwide),IDC,trillion USD (US$),,,,,,,,,,,,,,,,,,,0.48,0.55,0.6,0.59,0.65,0.71,0.77,0.84,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Adobe,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),AWS,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Google,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),IBM,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Infor,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Microsoft,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Oracle,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Other,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),ServiceNow,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Shopify,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Siemens,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Revenue by Segment,Total,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,1.51,1.89,2,2.21,2.19,2.63,2.96,3.49,4,4.55,5.12,5.73,6.32,,,,,,,,,,,,
India,Enterprise Software,Revenue by Segment,Business Intelligence Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.15,0.19,0.2,0.22,0.22,0.26,0.28,0.33,0.37,0.42,0.47,0.52,0.57,,,,,,,,,,,,
India,Enterprise Software,Revenue by Segment,Content Management Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.13,0.16,0.16,0.18,0.17,0.21,0.23,0.27,0.3,0.34,0.38,0.42,0.46,,,,,,,,,,,,
India,Enterprise Software,Revenue by Segment,Customer Relationship Management Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.32,0.43,0.5,0.58,0.59,0.73,0.84,1.03,1.22,1.43,1.67,1.95,2.24,,,,,,,,,,,,
